Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr
HD171825,HD171825,4908,4.48,-0.12,single,False,19.952623149688826
HD171942,HD171942,5615,4.42,-0.1,single,False,0.025118864315095822
HD171990,HD171990,6045,4.14,0.06,single,False,0.014125375446227554
HD172513,HD172513,5500,4.41,-0.05,single,False,11.220184543019654
HD172568,HD172568,5728,4.58,-0.37,single,False,1.1220184543019653
HD172643,HD172643,5645,4.5,-0.15,single,False,0.03162277660168379
HD173885,HD173885,6264,4.37,-0.2,single,False,3.1622776601683795
HD174153,HD174153,6196,4.49,-0.08,single,False,0.1
HD17439,HD17439,5721,4.44,0.08,single,False,5.623413251903491
HD174545,HD174545,5216,4.4,0.22,single,False,14.125375446227611
HD175179,HD175179,5764,4.46,-0.66,single,False,10.0
HD17548,HD17548,6011,4.44,-0.53,single,False,7.079457843841373
HD175607,HD175607,5392,4.51,-0.62,LMPH,True,15.848931924611108
HD176157,HD176157,5181,4.41,-0.16,single,False,19.952623149688826
HD176354,HD176354,5271,3.84,0.27,single,False,5.623413251903491
HD176535,HD176535,4727,4.36,-0.15,single,False,0.014125375446227554
HD176666,HD176666,6103,4.63,-0.37,single,False,0.03548133892335753
HD176986,HD176986,5018,4.45,0.0,LMPH,True,0.03162277660168379
HD177033,HD177033,4918,4.5,-0.13,single,False,19.952623149688826
HD177122,HD177122,6021,4.52,-0.1,single,False,0.14125375446227553
HD177409,HD177409,5898,4.49,-0.04,single,False,0.6309573444801944
HD177565,HD177565,5627,4.39,0.08,LMPH,True,7.943282347242854
HD177758,HD177758,5862,4.41,-0.58,single,False,11.220184543019654
HD17865,HD17865,5877,4.32,-0.57,single,False,0.015848931924611172
HD178904,HD178904,5727,4.41,0.09,single,False,6.309573444801943
HD179346,HD179346,6229,4.76,-0.03,single,False,0.07079457843841373
HD17970,HD17970,5040,4.39,-0.45,single,False,0.017782794100389226
HD179949,HD179949,6287,4.54,0.21,HMPH,True,0.0630957344480193
HD18001,HD18001,5772,4.44,-0.07,single,False,5.011872336272715
HD180409,HD180409,6013,4.52,-0.17,single,False,0.4466835921509635
HD18083,HD18083,6144,4.7,0.03,single,False,0.08912509381337495
