Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr,rbirth_kpc
HD144342,HD144342,5403,4.47,0.07,single,False,8.91250938133744,3.1008485689250547
HD144585,HD144585,5914,4.35,0.33,single,False,3.1622776601683795,1.0553113279995747
HD144589,HD144589,6372,4.28,-0.05,single,False,2.5118864315095926,5.719941175897011
HD144846,HD144846,6102,4.52,0.13,single,False,0.1,5.96390120673255
HD144880,HD144880,6152,4.38,-0.3,single,False,4.466835921509653,7.389781132781482
HD145344,HD145344,6143,4.39,-0.68,single,False,7.079457843841373,9.87240766813095
HD145666,HD145666,5958,4.53,-0.04,single,False,0.1,8.37208580647761
HD145809,HD145809,5778,4.15,-0.25,single,False,12.589254117941662,5.375720838836931
HD145927,HD145927,5819,4.41,-0.03,single,False,5.011872336272715,4.436878432744654
HD1461,HD1461,5765,4.38,0.19,LMPH,True,4.466835921509653,2.3104890776263574
HD146233,HD146233,5818,4.45,0.04,single,False,3.5481338923357604,4.16206930310749
HD147195,HD147195,5557,4.48,-0.05,single,False,6.309573444801943,4.358671131264955
HD147512,HD147512,5530,4.4,-0.08,single,False,11.220184543019654,4.218233178398986
HD147513,HD147513,5858,4.5,0.03,HMPH,True,0.5011872336272735,6.712071593784584
HD148211,HD148211,5948,4.36,-0.62,single,False,11.220184543019654,8.174567531705092
HD148303,HD148303,4958,4.55,-0.03,single,False,10.0,3.872174633422074
HD148577,HD148577,5713,4.29,-0.09,single,False,10.0,4.336358047366039
HD14868,HD14868,5864,4.44,0.02,single,False,3.1622776601683795,4.548685552006006
HD148816,HD148816,5908,4.39,-0.71,single,False,11.220184543019654,8.83395639043706
HD149396,HD149396,5657,4.47,0.19,single,False,2.238721138568338,3.028989039492549
HD149747,HD149747,5823,3.95,-0.34,single,False,7.943282347242854,6.628087278930426
HD150433,HD150433,5665,4.43,-0.36,single,False,11.220184543019654,6.269665899039287
HD150437,HD150437,5826,4.29,0.3,single,False,5.623413251903491,1.102772759168392
HD150474,HD150474,5425,4.01,0.01,single,False,12.589254117941662,3.577694362944288
HD152433,HD152433,6144,4.49,-0.1,single,False,0.11220184543019653,9.197582458106094
HD153276,HD153276,6000,4.48,0.04,single,False,0.17782794100389226,7.09841145608683
HD153950,HD153950,6074,4.39,-0.01,HMPH,True,2.8183829312644493,5.066629013510872
HD154088,HD154088,5374,4.37,0.28,LMPH,True,12.589254117941662,1.710513011199419
HD154195A,HD154195A,5961,4.48,-0.19,single,False,2.8183829312644493,7.142716955577544
HD154962,HD154962,5827,4.17,0.32,single,False,5.011872336272715,0.9263463606201139
HD155968,HD155968,5790,4.42,0.16,single,False,2.5118864315095926,3.24601325642403
HD156098,HD156098,6517,4.2,0.18,HMPH,True,1.4125375446227613,3.7020262264542234
HD15612,HD15612,5256,4.49,-0.11,single,False,10.0,4.4910858087835805
HD157172,HD157172,5451,4.39,0.11,single,False,10.0,2.789080087347049
HD157338,HD157338,6027,4.44,-0.08,single,False,1.7782794100389228,6.657444724923603
HD157347,HD157347,5676,4.38,0.02,single,False,8.91250938133744,3.5079653991507813
HD157830,HD157830,5540,4.49,-0.25,single,False,10.0,5.5741803692687535
HD1581,HD1581,5977,4.51,-0.18,single,False,1.584893192461111,8.101648756036255
HD159868,HD159868,5558,3.96,-0.08,HMPH,True,8.91250938133744,4.322199029269667
HD16008,HD16008,5712,4.42,-0.09,single,False,6.309573444801943,4.73114509227876
HD160691,HD160691,5780,4.27,0.3,HMPH,True,6.309573444801943,1.0995240851345045
HD161098,HD161098,5560,4.46,-0.27,single,False,11.220184543019654,5.610276821959264
HD161256,HD161256,5652,4.27,0.14,single,False,7.943282347242854,2.5280218256691267
HD16141,HD16141,5806,4.19,0.16,HMPH,True,6.309573444801943,2.403183000716832
HD161566,HD161566,6230,4.2,-0.28,single,False,6.309573444801943,6.500396259664649
HD161612,HD161612,5616,4.45,0.16,single,False,3.5481338923357604,2.8437643627442526
HD162236,HD162236,5343,4.43,-0.12,single,False,12.589254117941662,4.476707581568963
