age,feh,gaia_id
8.65,-0.29,4130516266713927936
8.91,-0.13,4346565834804538112
4.76,0.28,4130887386247071360
9.18,0.23,4110992822905022720
7.85,0.14,4045821161010597888
10.91,-0.62,6731241143370438144
11.54,-0.17,4045618369827068416
4.97,0.17,4127253397250036608
9.22,0.2,4045631147250413952
4.47,-0.67,4127449728786469120
6.63,-0.21,6731248530714185728
3.1,0.01,4126118220221456128
11.72,-0.25,4045619572417976192
2.43,-0.22,4130866976562564480
6.48,-0.43,1446862954607458560
11.57,-0.04,6731242453340329472
11.57,-0.06,4045615547929201664
10.78,-0.45,4346571641600393216
5.8,0.29,4130883606675894016
10.44,-0.2,4131645121554696320
8.07,0.27,4050215290472444544
3.87,0.02,4127553907527694464
2.9,-0.04,4130539386519922560
7.67,-0.21,4130801555619036416
8.52,0.36,4045616823638609280
5.36,0.31,4110876515234003456
8.78,-0.09,4130814715398955008
5.01,-0.19,4110989176425158912
10.41,0.08,4045618575985367040
9.56,0.24,4131661545509691136
10.47,-0.16,1247776097857176192
11.13,-0.03,4130867010922304512
9.54,0.15,4110989249492123648
6.72,-0.05,4130801899216426752
10.33,0.27,4127451511190297600
5.4,-0.15,4130798355863320960
12.3,-0.32,6731242689558662784
11.22,-0.4,4127192816723004800
9.99,-0.42,4419761732609736320
4.67,-0.17,4130588009849804416
1.88,0.03,4110825761506328832
5.34,-0.17,4110873629016206080
7.94,-0.04,4130797638608850176
11.34,-0.78,4346643590892584960
8.51,-0.54,1176063754766121472
10.28,0.0,4127188560420880768
7.2,-1.62,6731242728218212608
11.51,-0.58,4130801967935896960
7.7,-0.54,4127188629140370560
4.76,0.21,6719229670328605056
5.02,-0.66,1247688553539686272
10.43,-0.69,6731242006663680768
11.7,-0.12,4045823630505497472
7.31,-0.33,4130873230034904576
6.69,0.04,4130558902850356096
11.4,-0.36,4343284033113428736
6.75,0.26,4045631971884128768
11.38,-0.08,6731498914430360832
5.93,-0.18,4130816158507860608
9.98,0.12,6731240043858809344
9.32,0.03,4110873938253339648
7.05,0.03,4343216653666442880
9.79,0.26,4045621427843890944
5.04,0.28,4415608567953831040
10.5,-0.23,6731255681839687296
10.98,-0.38,4050167800944900736
5.16,-0.67,4127537998956726144
3.45,0.18,4056559674359676800
10.28,-0.64,4130802448972240256
1.33,0.13,4418652050499357056
4.14,0.12,4045632903998619136
10.95,-0.95,6734772366726781824
11.43,-0.7,4130545884809586560
8.85,-0.66,6731240490535406976
8.04,0.27,6731486304406029184
5.0,0.03,4050220199547081344
5.67,-0.06,4130890611760825088
5.88,0.13,4045616647443871744
9.95,-0.16,4343217955035684096
5.42,0.11,4127555866032766336
8.92,0.23,4045633346321515776
2.71,0.13,4115542116637768064
9.73,-0.02,4127243192407893632
8.1,-0.46,4045620942408114560
10.06,-0.25,4130873706771483776
6.58,-0.3,4131663705874973056
3.97,0.31,4131642682013972352
5.48,0.32,4127260367966494848
9.96,0.02,3958555190743598464
9.23,0.09,4110894721503859456
8.51,-0.2,4131647350639329664
11.96,-0.37,4045620976767851264
8.18,0.18,4045634484546546816
5.72,-0.52,4346855212519230976
11.96,-0.12,4045620770609422848
3.92,0.2,4045993131489406208
8.04,0.19,4110827548212203264
8.36,-0.3,4415536786164426624
5.13,-0.66,4418706373245744384
6.28,-0.07,4131660549077976960
2.4,-1.08,4130887003988296576
8.7,-0.22,4130890306824901888
5.81,0.12,4130826088472998656
4.8,-0.23,4130822751279850112
4.43,0.19,4060921265189964544
6.05,0.13,4127574557730863488
12.17,-0.53,4045996150754926464
8.26,0.05,4111085040092962944
6.77,-0.21,4130546572004321792
9.19,0.33,4127190823858172928
7.39,-0.47,4419833956779642240
11.25,-0.53,4131642196678366848
5.25,-1.36,4418637550689746816
10.42,-0.11,4130632780589962368
0.82,0.01,4110893106593005568
8.14,-0.22,4127642486936449664
7.76,0.33,4131647801615024512
10.56,0.31,4045829540384166144
2.41,0.0,4111106484928238848
10.1,-0.15,4110879259620799104
7.37,-0.35,4419758330995510528
8.21,-0.64,4045996292576866816
7.61,0.01,1158331514132633856
2.73,-0.28,4127623176763076096
4.67,0.2,4127622180330553984
4.88,0.06,4045997525144550272
11.53,-0.29,4127262365142004096
11.18,-0.37,4127622519613433088
10.1,-0.28,4127626475298040704
1.91,-0.02,6719321823149918208
8.44,-0.14,4127196287056569216
7.48,-0.01,4115457522956925440
4.66,0.17,4110892492514662272
7.78,-0.57,1172968045418369920
10.57,-0.35,4130561484130903936
5.6,-0.41,4419828527941041664
7.13,-0.41,1155025115164726400
